date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:55	69683/69683	---M-Z	200	added ('OK')	text/html	etag:%2211033-62a1a39b-2c279ad3644b79f0;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/all-leave.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/all-leave.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:55	68619/68619	---M-Z	200	added ('OK')	text/html	etag:%2210c0b-62a1a39b-ef143ea268908dfd;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/leave-balance.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/leave-balance.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:55	59691/59691	---M-Z	200	added ('OK')	text/html	etag:%22e92b-62a1a39b-1098ce56f3f8f55e;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/add-leave.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/add-leave.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:56	60173/60173	---M-Z	200	added ('OK')	text/html	etag:%22eb0d-62a1a39b-d14b40da19f66a0d;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/edit-leave.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/edit-leave.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:56	64275/64275	---M-Z	200	added ('OK')	text/html	etag:%22fb13-62a1a39b-5e4d31c72ab72f95;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/leave-type.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/leave/leave-type.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:56	73208/73208	---M-Z	200	added ('OK')	text/html	etag:%2211df8-62a1a39b-ffefa4233be53d8e;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/holiday/all-holidays.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/holiday/all-holidays.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:56	58805/58805	---M-Z	200	added ('OK')	text/html	etag:%22e5b5-62a1a39b-2794043657396fa6;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/holiday/add-holiday.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/holiday/add-holiday.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:57	58950/58950	---M-Z	200	added ('OK')	text/html	etag:%22e646-62a1a39b-6c492dbd973a81aa;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/holiday/edit-holiday.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/holiday/edit-holiday.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:57	63595/63595	---M-Z	200	added ('OK')	text/html	etag:%22f86b-62a1a39b-8c9a0c3b43cc4b32;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/accounts/income.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/accounts/income.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:58	65352/65352	---M-Z	200	added ('OK')	text/html	etag:%22ff48-62a1a39b-dfbf584d346531a2;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/accounts/expense.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/accounts/expense.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:58	65063/65063	---M-Z	200	added ('OK')	text/html	etag:%22fe27-62a1a39b-7be2f9a59b4bd71a;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/accounts/invoice.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/accounts/invoice.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:58	78669/78669	---M-Z	200	added ('OK')	text/html	etag:%221334d-62a1a39b-d3df399df8649797;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/departments/all-departments.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/departments/all-departments.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:58	59491/59491	---M-Z	200	added ('OK')	text/html	etag:%22e863-62a1a39b-283e14d8b7c04d3f;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/departments/add-department.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/departments/add-department.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:59	59836/59836	---M-Z	200	added ('OK')	text/html	etag:%22e9bc-62a1a39b-266bf899765b0ac8;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/departments/edit-department.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/departments/edit-department.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:22:59	67188/67188	---M-Z	200	added ('OK')	text/html	etag:%2210674-62a1a39b-474d8cd460a0aacf;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/payroll/payslip.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/payroll/payslip.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:23:01	79917/79917	---M-Z	200	added ('OK')	text/html	etag:%221382d-62a1a39b-6c38ee7649d443f;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/payroll/employee-salary.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/payroll/employee-salary.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:23:01	63032/63032	---M-Z	200	added ('OK')	text/html	etag:%22f638-62a1a39b-171cfc1f1ba9bbaa;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/job/add-job.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/job/add-job.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
12:23:01	71060/71060	---M-Z	200	added ('OK')	text/html	etag:%2211594-62a1a39b-a23fead6fea49251;gz%22	https://www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/job/requirement-list.html	C:/My%20Web%20Sites/HR%20System/www.einfosoft.com/templates/admin/atrio/source/lighthr/pages/job/requirement-list.html	(from https://www.einfosoft.com/templates/admin/atrio/source/lighthr/index.html)
